z1,z2
0.518352648,0.325259025
0.515524695,0.323484525
0.518727894,0.325494495
0.524052057,0.328835325
0.536766963,0.33681375
0.554550429,0.347972625
0.574998693,0.360803625
0.587561325,0.3686865
0.595664493,0.373771125
0.592727775,0.371928375
0.583645698,0.3662295
0.568907721,0.356981625
0.554006592,0.347631375
0.538697583,0.338025195
0.537522897,0.337288095
0.528652917,0.3317223
0.528968343,0.331920225
0.53350938,0.33476967
0.533074311,0.33449667
0.535608591,0.336086895
0.533036244,0.334472775
0.524606772,0.3291834
0.521332875,0.327129075
0.515426805,0.3234231
0.514475091,0.32282592
0.515524695,0.323484525
0.518727894,0.325494495
0.524052057,0.328835325
0.536766963,0.33681375
0.554550429,0.347972625
0.574998693,0.360803625
0.587561325,0.3686865
0.595664493,0.373771125
0.592727775,0.371928375
0.583645698,0.3662295
0.568907721,0.356981625
0.554006592,0.347631375
0.538697583,0.338025195
0.537522897,0.337288095
0.528652917,0.3317223
0.528968343,0.331920225
0.53350938,0.33476967
0.533074311,0.33449667
0.535608591,0.336086895
0.533036244,0.334472775
0.524606772,0.3291834
0.521332875,0.327129075
0.515426805,0.3234231
