z1,z2
1.23840185,0.394440258
1.166600862,0.37462783
1.134460964,0.36501634
1.136761419,0.366439933
1.208686431,0.390098907
1.316156886,0.423434203
1.53979187,0.488721483
1.802749984,0.569256751
2.093773947,0.664632214
2.254088958,0.718119263
2.3145583,0.739303336
2.371057517,0.757532413
2.320484226,0.736898872
2.225956729,0.706033683
2.155135104,0.687134108
2.167234435,0.694373637
2.140932118,0.686604857
2.109595704,0.674350246
1.997073765,0.63181881
1.8304436,0.570341582
1.739867515,0.539830348
1.692409355,0.526139208
1.606149707,0.500376115
1.470285715,0.46264345
1.350143602,0.431320224
1.263102079,0.406478074
1.235217637,0.398270491
1.242828764,0.401446825
1.311488047,0.424028258
1.404725477,0.452666352
1.598541374,0.508112386
1.860582169,0.588345471
2.155441955,0.684986914
2.321116192,0.740242729
2.392491711,0.765026576
2.453901873,0.784875897
2.416285347,0.768519479
2.315039517,0.735436677
2.241475399,0.715631397
2.243973035,0.71970197
2.219297302,0.71247003
2.167768196,0.693550996
2.034039563,0.644020759
1.871208379,0.583797637
1.774053131,0.551115006
1.718832711,0.534861715
1.641653218,0.512095165
1.505813504,0.474370512
