z1,z2
0.26,0.29
0.24,0.31
0.22,0.31
0.19,0.29
0.17,0.26
0.16,0.25
0.14,0.21
0.1,0.2
0.07,0.22
0.06,0.23
0.05,0.24
0.06,0.25
0.06,0.25
0.06,0.25
0.05,0.24
0.05,0.22
0.05,0.19
0.07,0.16
0.08,0.11
0.09,0.07
0.09,0.04
0.12,0.02
0.17,0.02
0.23,0.06
0.3,0.13
0.34,0.22
0.31,0.29
0.36,0.3
0.41,0.31
0.4,0.38
0.35,0.42
0.36,0.41
0.37,0.39
0.36,0.39
0.36,0.4
0.33,0.41
0.31,0.43
0.3,0.44
0.28,0.46
0.26,0.46
0.24,0.46
0.21,0.44
0.18,0.4
0.14,0.33
0.11,0.24
0.09,0.2
0.07,0.18
0.05,0.16
