hour,demand,wind,pv
t01,38818,0.1,0
t02,37583,0.12,0
t03,37113,0.13,0
t04,37464,0.14,0
t05,38349,0.15,0
t06,41421,0.13,0.01
t07,47556,0.08,0.08
t08,52689,0.03,0.18
t09,56040,0.03,0.26
t10,57682,0.04,0.38
t11,59273,0.1,0.52
t12,61295,0.15,0.65
t13,60456,0.2,0.7
t14,59608,0.25,0.72
t15,58592,0.22,0.67
t16,57497,0.19,0.52
t17,56099,0.2,0.35
t18,55821,0.21,0.23
t19,55352,0.22,0.12
t20,54556,0.2,0.06
t21,53364,0.19,0.02
t22,53088,0.18,0
t23,49126,0.17,0
t24,44475,0.16,0
t25,48796,0.41,0
t26,47466,0.47,0
t27,47577,0.53,0
t28,48293,0.55,0
t29,49527,0.5,0
t30,51672,0.43,0
t31,59458,0.4,0
t32,67194,0.29,0
t33,69421,0.2,0
t34,68805,0.19,0.02
t35,69180,0.19,0.08
t36,69557,0.17,0.15
t37,69332,0.19,0.16
t38,68461,0.17,0.12
t39,67618,0.13,0.08
t40,67588,0.1,0.03
t41,67910,0.08,0
t42,72064,0.12,0
t43,72204,0.14,0
t44,70180,0.14,0
t45,66389,0.12,0
t46,63899,0.1,0
t47,61856,0.11,0
t48,56501,0.11,0
