hour,demand,wind,solar,heat
t01,38818,0.1,0,16980
t02,37583,0.12,0,16704
t03,37113,0.13,0,17241
t04,37464,0.14,0,17020
t05,38349,0.15,0,17155
t06,41421,0.13,0.01,17897
t07,47556,0.08,0.08,18585
t08,52689,0.03,0.18,19401
t09,56040,0.03,0.26,19379
t10,57682,0.04,0.38,18713
t11,59273,0.1,0.52,17683
t12,61295,0.15,0.65,16759
t13,60456,0.2,0.7,15836
t14,59608,0.25,0.72,14977
t15,58592,0.22,0.67,14295
t16,57497,0.19,0.52,13962
t17,56099,0.2,0.35,13694
t18,55821,0.21,0.23,13761
t19,55352,0.22,0.12,14040
t20,54556,0.2,0.06,14431
t21,53364,0.19,0.02,14902
t22,53088,0.18,0,15313
t23,49126,0.17,0,15473
t24,44475,0.16,0,15829
t25,48796,0.41,0,15707
t26,47466,0.47,0,16169
t27,47577,0.53,0,15956
t28,48293,0.55,0,16036
t29,49527,0.5,0,16360
t30,51672,0.43,0,17795
t31,59458,0.4,0,19300
t32,67194,0.29,0,20358
t33,69421,0.2,0,20735
t34,68805,0.19,0.02,20341
t35,69180,0.19,0.08,19633
t36,69557,0.17,0.15,18902
t37,69332,0.19,0.16,17969
t38,68461,0.17,0.12,17275
t39,67618,0.13,0.08,16742
t40,67588,0.1,0.03,16242
t41,67910,0.08,0,15891
t42,72064,0.12,0,15766
t43,72204,0.14,0,16063
t44,70180,0.14,0,16479
t45,66389,0.12,0,16849
t46,63899,0.1,0,17302
t47,61856,0.11,0,17297
t48,56501,0.11,0,17395
