timestep,demand,curtailment
1,-43358.5,-0.0
2,-43348.5,-0.0
3,-44473.0,-0.0
4,-47198.5,-0.0
5,-54383.0,-0.0
6,-60480.5,-0.0
7,-64235.99999999999,-0.0
8,-65613.5,-0.0
9,-67118.0,-0.0
10,-68410.0,-0.0
11,-68359.49999999999,-0.0
12,-67718.0,-9.815389604841243
13,-66461.0,-0.0
14,-65319.999999999985,-0.0
15,-63819.99999999999,-0.0
16,-63171.5,-0.0
17,-62309.49999999999,-0.0
18,-61372.0,-0.0
19,-58819.49999999999,-0.0
20,-56762.0,-0.0
21,-54676.0,-0.0
22,-50659.0,-0.0
23,-47478.0,-0.0
24,-45670.0,-0.0
25,-44646.99999999999,-0.0
26,-44362.5,-0.0
27,-45397.49999999999,-0.0
28,-48330.99999999999,-0.0
29,-55532.0,-0.0
30,-61523.5,-0.0
31,-65105.99999999999,-0.0
32,-66631.0,-0.0
33,-68603.5,-0.0
34,-70131.0,-0.0
35,-69850.0,-0.0
36,-68877.5,-0.0
37,-67843.5,-0.0
38,-66882.5,-0.0
39,-65440.5,-0.0
40,-64560.49999999999,-0.0
41,-63589.499999999985,-0.0
42,-62603.0,-9.347891972946002
43,-60255.99999999999,-15.882397923825067
44,-58090.0,-15.878149073133898
45,-55802.0,-16.81323606093673
46,-51263.5,-13.69567717442709
47,-48114.5,-0.0
48,-46209.5,-0.0
