timestep,biomass,hard coal,hydro,lignite,gas,uran,oil,waste,sun,wind
1,8102.029269999998,0.0,4200.577140000002,10683.319344720047,0.0,10800.0,0.0,4258.466999999997,0.0,4454.801443013756
2,8102.029269999998,0.0,4200.577140000002,10907.930495813747,0.0,10800.0,0.0,4258.466999999997,0.0,4212.832628898598
3,8102.029269999998,0.0,4200.577140000002,12439.649278759336,0.0,10800.0,0.0,4258.466999999997,0.0,3782.9705336533493
4,8102.029269999998,0.0,4200.577140000002,15282.789829566,0.0,10800.0,0.0,4258.466999999997,141.11557106897303,3492.7963042075794
5,8102.029269999998,527.147614213408,4200.577140000002,20203.6,0.0,10800.0,0.0,4258.466999999997,2066.660298881094,3275.1364214592763
6,8102.029269999998,2082.250043967087,4200.577140000002,20203.6,0.0,10800.0,0.0,4258.466999999997,7456.364690676709,2517.391237242583
7,8102.029269999998,110.87865869896893,4200.577140000002,19251.624642564373,0.0,10800.0,0.0,4258.466999999997,15519.678074123161,1336.4487372792264
8,8102.029269999998,0.0,4200.577140000002,13275.472060840671,0.0,10800.0,0.0,4258.466999999997,23927.43484071654,988.2714802017064
9,8102.029269999998,0.0,4200.577140000002,9359.753401757103,0.0,10800.0,0.0,4258.466999999997,30672.152189120643,1121.9533738068253
10,8102.029269999998,0.0,4200.577140000002,6308.51731870792,0.0,10800.0,0.0,4258.466999999997,35266.75379338789,1429.5613065562047
11,8083.187269999998,0.0,4200.577140000002,4087.565330146998,0.0,10800.0,0.0,4258.466999999997,37512.46395663607,1447.6601544587097
12,8083.187269999998,0.0,4200.577140000002,3333.6237538838595,0.0,10800.0,0.0,4204.466999999997,37746.13920335244,1410.5868654901406
13,8083.187269999998,0.0,4200.577140000002,3503.465500249872,0.0,10800.0,0.0,4252.600450695364,36168.07260215096,1472.2027711373535
14,8102.029269999998,0.0,4200.577140000002,5238.400000000001,0.0,10800.0,0.0,4258.466999999997,33002.83516935658,1622.1366079775305
15,8102.029269999998,0.0,4200.577140000002,7660.824215276746,0.0,10800.0,0.0,4258.466999999997,27922.674610873564,1768.151399897251
16,8102.029269999998,0.0,4200.577140000002,12715.553830669152,0.0,10800.0,0.0,4258.466999999997,20781.92324043714,2075.5552213766373
17,8102.029269999998,0.0,4200.577140000002,18917.723881231126,0.0,10800.0,0.0,4258.466999999997,12770.200495876079,2572.586610860783
18,8102.029269999998,4028.96301396156,4200.577140000002,20203.6,0.0,10800.0,0.0,4258.466999999997,5708.352455499748,3180.948372611859
19,8102.029269999998,4535.936281569372,4200.577140000002,20203.6,0.0,10800.0,0.0,4258.466999999997,1506.750129800969,4236.389147052458
20,8102.029269999998,664.0595722283963,4200.577140000002,20203.6,30.80403435604369,10800.0,0.0,4258.466999999997,57.66012581312874,7457.0973951274345
21,8102.029269999998,0.0,4200.577140000002,15478.599816596512,0.0,10800.0,0.0,4258.466999999997,0.0,10874.742010989085
22,8102.029269999998,0.0,4200.577140000002,9617.424904115727,0.0,10800.0,0.0,4258.466999999997,0.0,12763.292218988541
23,8102.029269999998,0.0,4200.577140000002,6185.0340531036545,0.0,10800.0,0.0,4258.466999999997,0.0,13047.283826580182
24,8102.029269999998,0.0,4200.577140000002,5238.400000000001,0.0,10800.0,0.0,4258.466999999997,0.0,12623.48051431821
25,8102.029269999998,0.0,4200.577140000002,5238.400000000001,0.0,10800.0,0.0,4258.466999999997,0.0,12608.456804645935
26,8102.029269999998,0.0,4200.577140000002,5238.400000000001,0.0,10800.0,0.0,4258.466999999997,0.0,12433.990913284919
27,8102.029269999998,0.0,4200.577140000002,5238.400000000001,0.0,10800.0,0.0,4258.466999999997,0.0,12119.48662815671
28,8102.029269999998,0.0,4200.577140000002,7988.907745785628,0.0,10800.0,0.0,4258.466999999997,125.9418537497286,11909.033489555331
29,8102.029269999998,216.9863484079068,4200.577140000002,14142.152571753066,0.0,10800.0,0.0,4258.466999999997,1984.722225357169,10846.542949823273
30,8102.029269999998,512.2516068509068,4200.577140000002,17022.13270965327,50.8,10800.0,0.0,4258.466999999997,7344.079182514287,8338.821261147874
31,8102.029269999998,259.7902702350424,4200.577140000002,15338.999971500856,0.0,10800.0,0.0,4258.466999999997,15518.160702391258,5936.557714653388
32,8102.029269999998,0.0,4200.577140000002,9366.728710228595,0.0,10800.0,0.0,4258.466999999997,24089.793616032475,5371.869989502478
33,8102.029269999998,0.0,4200.577140000002,5238.400000000001,0.0,10800.0,0.0,4258.466999999997,31402.007992176284,5647.908777028892
34,8064.3292699999965,0.0,4200.577140000002,1246.7100348504302,0.0,10800.0,0.0,4084.741095463266,36515.55072876165,7109.7761960798925
35,7981.829269999997,0.0,4200.577140000002,0.0,0.0,9008.186551203868,0.0,2523.6586796151596,38961.55396062379,9157.06752983275
36,7973.829269999997,0.0,4200.577140000002,0.0,0.0,7997.976735992466,0.0,2090.3194278886194,38808.29941569946,9807.546349889382
37,7973.829269999997,0.0,4200.577140000002,0.0,0.0,8937.031022434785,0.0,2196.871676084905,36345.60509478613,10134.126611273274
