timestep,biomass,hard coal,hydro,lignite,gas,uran,oil,waste,sun,wind
1,6208.447730252858,202.02352015572245,4200.577140000002,2806.7168321926447,0.0,0.0,0.0,2549.4142427924617,0.0,29799.383977501446
2,5764.732892452349,262.9459333207167,4200.577140000002,2615.607005550492,0.0,0.0,0.0,2413.166999999998,0.0,30457.881103001575
3,5586.280066404703,365.4837658710433,4200.577140000002,2866.4,0.0,0.0,0.0,2413.166999999998,6.069486927697761,31249.309821325394
4,5640.873979086766,643.710962542725,4200.577140000002,3498.208106208785,0.0,0.0,0.0,2776.166999999998,368.72133085763977,31931.161466140908
5,5111.050609957696,1493.7731499385263,4200.577140000002,6761.588738243727,0.0,0.0,0.0,2922.3669999999984,2778.30764115365,33918.36495741968
6,4526.32931999999,2348.5698261691277,4200.577140000002,6822.699190475509,15.8,0.0,0.0,2955.7669999999985,7583.823916158354,35911.67647652781
7,4209.45731999999,1253.5955342939244,4200.577140000002,6071.093308538638,0.0,0.0,0.0,2776.166999999998,13436.326686190921,38581.70714898919
8,4171.542574069863,1090.0246166652055,4200.577140000002,3611.2000000000003,0.0,0.0,0.0,2482.7585754394995,18524.074103333558,39638.44441372266
9,3883.274059999994,718.9430034408535,4200.577140000002,2827.801851157336,0.0,0.0,0.0,2313.814756278423,21728.76320115799,40144.29787914091
10,3904.953019999994,489.4999343388672,4200.577140000002,929.1073851879994,0.0,0.0,0.0,2720.0441776477837,24763.506665006884,41678.53322819169
11,3924.9530199999936,317.7599986348986,4200.577140000002,0.0,0.0,0.0,0.0,2791.215374324872,26305.15634464212,41955.06328200904
12,3900.495119999993,198.99314759476317,4200.577140000002,0.0,0.0,0.0,0.0,2381.010123952845,28822.476047904718,42029.214084809304
13,3852.8951199999938,123.43243331896565,4200.577140000002,0.0,0.0,0.0,0.0,2044.5235298176087,27643.478212199458,42237.81609388017
14,3904.953019999994,241.01470470760705,4200.577140000002,0.0,0.0,0.0,0.0,2694.3889853611086,24755.919806347272,42090.47735005731
15,3904.953019999994,290.23422799205935,4200.577140000002,1.0659282411951594,0.0,0.0,0.0,2689.9593327275775,21592.19974528478,40806.518388017765
16,3904.953019999994,604.4925743123265,4200.577140000002,2808.5736458124125,0.0,0.0,0.0,2373.143519472814,16219.18644254037,39624.49407118927
17,4526.32931999999,1022.3769976619733,4200.577140000002,6398.83849598701,0.0,0.0,0.0,2955.7669999999985,10272.606625128445,37227.84160785876
18,6484.843469999994,3931.832871098317,4200.577140000002,7576.417035456132,50.8,0.0,0.0,3289.423375292951,4652.261730080339,33469.24126608739
19,7573.9943602901785,4792.791649890402,4200.577140000002,9063.36839257377,50.8,0.0,0.0,3823.9422733531565,1301.9049459911696,29629.51283781755
20,7847.89949121077,3856.8089489465337,4200.577140000002,9710.603889854501,50.8,0.0,0.0,3912.866999999998,56.14275408120429,27936.948810416452
21,7936.278641235079,2312.4251942543506,4200.577140000002,9395.679467687976,50.8,0.0,0.0,3912.866999999998,0.0,27034.616954249726
22,7545.741909281718,493.6828365149918,4200.577140000002,7032.351943573608,0.0,0.0,0.0,3850.346326028547,0.0,27218.674234210353
23,7495.607959999994,427.8772322746483,4200.577140000002,6424.099956855623,0.0,0.0,0.0,3767.966999999998,0.0,26719.135020322956
24,7495.607959999994,389.32018120601094,4200.577140000002,5403.696954016797,0.0,0.0,0.0,3469.193982362189,0.0,26278.061979827817
25,7495.607959999994,401.07803409578764,4200.577140000002,5271.177865733739,0.0,0.0,0.0,3465.7574584336917,0.0,25155.998100659777
26,7813.342067040018,490.1704778972331,4200.577140000002,5941.538678093878,0.0,0.0,0.0,3784.500144088717,0.0,23391.085814063175
27,8062.029269999997,514.1645139430491,4200.577140000002,6643.581432930882,0.0,0.0,0.0,4258.466999999997,3.0347434638488804,21452.864046995397
28,8102.029269999998,649.1357709674751,4200.577140000002,10060.461954403137,0.0,0.0,0.0,4258.466999999997,391.4819068365061,19559.910523999468
29,8102.029269999998,4339.3383011520355,4200.577140000002,13621.109704556517,50.8,0.0,0.0,4258.466999999997,2873.90206026489,17305.01661321019
30,8102.029269999998,5603.052200807105,4200.577140000002,14950.567554638903,50.8,0.0,0.0,4258.466999999997,8032.965948808001,15456.791482069319
31,8102.029269999998,3589.9831199902833,4200.577140000002,14494.40621139421,50.8,0.0,0.0,4258.466999999997,14883.899318446825,14275.062769988062
32,8102.029269999998,605.8245149353319,4200.577140000002,13158.579156675689,50.8,0.0,0.0,4258.466999999997,21224.995786159103,13748.54493769174
33,8102.029269999998,157.46098076989495,4200.577140000002,10334.749181484816,0.0,0.0,0.0,4258.466999999997,25508.536185381727,14241.574238504432
34,8102.029269999998,48.40823911337077,4200.577140000002,7967.47365292911,0.0,0.0,0.0,4258.466999999997,29236.718530720114,15437.040732122854
35,8062.029269999997,0.0,4200.577140000002,5565.325821974689,0.0,0.0,0.0,4233.0866041044055,31301.861457869305,15947.556547028065
36,8062.029269999997,0.0,4200.577140000002,4875.841625887555,0.0,0.0,0.0,4068.2527626342335,32103.03373232538,15488.54163748587
37,8102.029269999998,0.0,4200.577140000002,4631.692435921794,0.0,0.0,0.0,4258.466999999997,31896.67117678366,14461.698379184269
38,8102.029269999998,0.0,4200.577140000002,7292.567901290032,0.0,0.0,0.0,4258.466999999997,29572.057683475425,12873.885100734064
39,8102.029269999998,0.0,4200.577140000002,9721.292963282547,0.0,0.0,0.0,4258.466999999997,25622.339065276097,11451.39890864799
40,8102.029269999998,346.41336411041283,4200.577140000002,15918.313260499717,50.8,0.0,0.0,4258.466999999997,19392.010733994353,9701.837622944222
41,8102.029269999998,4788.244007656627,4200.577140000002,19685.05952105591,0.0,0.0,0.0,4258.466999999997,11953.854504100735,8078.885228806994
42,8102.029269999998,11098.658955942625,4200.577140000002,20203.6,20.41033041323526,0.0,0.0,4258.466999999997,5526.267847668814,6673.320349417985
43,8102.029269999998,13157.562705956538,4200.577140000002,20203.6,50.8,0.0,0.0,4258.466999999997,1499.1632711413488,6520.366297568037
44,8102.029269999998,11087.949731129853,4200.577140000002,20203.6,0.0,0.0,0.0,4258.466999999997,69.7990996685243,7976.072878000757
45,8102.029269999998,7039.691639412117,4200.577140000002,19643.73904372415,0.0,0.0,0.0,4258.466999999997,0.0,10203.47709761511
46,8102.029269999998,2945.9916785628025,4200.577140000002,18202.9794775095,12.31300777204956,0.0,0.0,4258.466999999997,0.0,11598.226579704864
47,8102.029269999998,928.8886402575079,4200.577140000002,16559.351396662765,40.62635993057408,0.0,0.0,4258.466999999997,0.0,12324.343470614998
48,8102.029269999998,297.82111650586046,4200.577140000002,15478.77011440348,15.126895610743986,0.0,0.0,4258.466999999997,0.0,12480.44725471996
49,8102.029269999998,319.9622208923105,4200.577140000002,13771.870068491447,0.0,0.0,0.0,4258.466999999997,0.0,12832.651949647592
50,8102.029269999998,392.13372884459756,4200.577140000002,12998.321009991341,0.0,0.0,0.0,4258.466999999997,0.0,13458.35592122507
51,8102.029269999998,469.1300451681183,4200.577140000002,12929.224179626643,0.0,0.0,0.0,4258.466999999997,3.0347434638488804,14142.715390443847
52,8102.029269999998,1801.5193373636434,4200.577140000002,14441.706996136945,50.8,0.0,0.0,4258.466999999997,464.31574996887866,13745.089697452018
53,8102.029269999998,5703.004096460771,4200.577140000002,17301.88844619353,0.0,0.0,0.0,4258.466999999997,3298.766145203732,11465.937553653239
54,8102.029269999998,7661.800747538335,4200.577140000002,18305.92064851946,0.0,0.0,0.0,4258.466999999997,9192.237951998264,8409.451338330158
55,8102.029269999998,5828.599192853374,4200.577140000002,18983.572956104857,0.0,0.0,0.0,4258.466999999997,16668.32847518998,5771.961122595698
56,8102.029269999998,1797.0950778514725,4200.577140000002,18132.31452461065,28.548947899962787,0.0,0.0,4258.466999999997,23417.597938789888,5452.135021756066
57,8102.029269999998,144.26135248909327,4200.577140000002,16182.561240221588,0.0,0.0,0.0,4258.466999999997,27341.521237546483,6801.658508405098
58,8102.029269999998,33.31543843402733,4200.577140000002,13277.014045415193,0.0,0.0,0.0,4258.466999999997,28494.723753809063,10158.445969127193
59,8102.029269999998,2.22192337106344,4200.577140000002,10054.159588686938,0.0,0.0,0.0,4258.466999999997,28177.593061836913,13448.406213851837
60,8102.029269999998,48.04513795600383,4200.577140000002,7567.51466802185,0.0,0.0,0.0,4258.466999999997,26371.9207008468,17157.942446581485
61,8082.029269999998,50.6677186628707,4200.577140000002,6434.31415583393,0.0,0.0,0.0,4258.466999999997,23359.9378129768,18922.055846470852
62,8079.062571580327,202.94890801923265,4200.577140000002,8050.1543599315,0.0,0.0,0.0,4258.466999999997,20082.41487201996,19331.71737951879
63,8102.029269999998,353.32892077406837,4200.577140000002,10334.63533886677,0.0,0.0,0.0,4258.466999999997,16290.502913940803,19326.648261003123
64,8102.029269999998,2210.122299703009,4200.577140000002,12379.135443701936,50.8,0.0,0.0,4258.466999999997,12281.606798196432,19122.61499551049
65,8102.029269999998,4171.168588580696,4200.577140000002,14686.686529982291,50.8,0.0,0.0,4258.466999999997,8357.683499439829,17504.465030263207
