timestep,biomass,hard coal,hydro,lignite,gas,uran,oil,waste,sun,wind
1,8030.429269999997,0.0,4200.577140000002,0.0,0.0,1415.542612498541,0.0,220.067,0.0,29799.383977501446
2,8030.429269999997,0.0,4200.577140000002,0.0,0.0,937.0454869984077,0.0,220.067,0.0,30457.881103001575
3,8030.429269999997,0.0,4200.577140000002,0.0,0.0,1531.0472817469251,0.0,220.067,6.069486927697761,31249.309821325394
4,8030.429269999997,0.0,4200.577140000002,0.0,0.0,3652.043793001436,0.0,220.067,368.72133085763977,31931.161466140908
5,8030.429269999997,0.0,4200.577140000002,0.0,0.0,7530.753991426673,0.0,220.067,2778.30764115365,33918.36495741968
6,8030.429269999997,0.0,4200.577140000002,0.0,0.0,7017.926197313833,0.0,220.067,7583.823916158354,35911.67647652781
7,8030.429269999997,0.0,4200.577140000002,0.0,0.0,1752.3927548198285,0.0,220.067,13436.326686190921,38581.70714898919
8,5036.837342943793,0.0,4200.577140000002,0.0,0.0,0.0,0.0,220.067,18524.074103333558,39638.44441372266
9,2792.2947797010493,0.0,4200.577140000002,0.0,0.0,0.0,0.0,220.067,21728.76320115799,40144.29787914091
10,0.0,0.0,4200.577140000002,0.0,0.0,0.0,0.0,0.0,24763.506665006884,41678.53322819169
11,0.0,0.0,4200.577140000002,0.0,0.0,0.0,0.0,0.0,26305.15634464212,41955.06328200904
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28822.476047904718,42029.214084809304
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27643.478212199458,42237.81609388017
14,0.0,0.0,4200.577140000002,0.0,0.0,0.0,0.0,0.0,24755.919806347272,42090.47735005731
15,0.0,0.0,4200.577140000002,0.0,0.0,0.0,0.0,0.0,21592.19974528478,40806.518388017765
16,4282.675346270443,0.0,4200.577140000002,0.0,0.0,0.0,0.0,220.067,16219.18644254037,39624.49407118927
17,8030.429269999997,0.0,4200.577140000002,0.0,0.0,4294.478357012783,0.0,220.067,10272.606625128445,37227.84160785876
18,8102.029269999998,0.0,4200.577140000002,0.0,0.0,10800.0,0.0,2427.8905938323164,4652.261730080339,33469.24126608739
19,8102.029269999998,0.0,4200.577140000002,2842.5088061912697,0.0,10800.0,0.0,4258.466999999997,1301.9049459911696,29629.51283781755
20,8102.029269999998,0.0,4200.577140000002,3061.335025502432,0.0,10800.0,0.0,4258.466999999997,56.14275408120429,27936.948810416452
21,8102.029269999998,0.0,4200.577140000002,1255.3096357502982,0.0,10800.0,0.0,4258.466999999997,0.0,27034.616954249726
22,8102.029269999998,0.0,4200.577140000002,0.0,0.0,10800.0,0.0,664.7193557896794,0.0,27218.674234210353
23,8030.429269999997,0.0,4200.577140000002,0.0,0.0,8525.291569677063,0.0,220.067,0.0,26719.135020322956
24,8030.429269999997,0.0,4200.577140000002,0.0,0.0,6991.364610172192,0.0,220.067,0.0,26278.061979827817
25,8030.429269999997,0.0,4200.577140000002,0.0,0.0,7009.928489340224,0.0,220.067,0.0,25155.998100659777
26,8030.429269999997,0.0,4200.577140000002,0.0,0.0,8769.84077593687,0.0,220.067,0.0,23391.085814063175
27,8102.029269999998,0.0,4200.577140000002,0.0,0.0,10800.0,0.0,705.9947995408347,3.0347434638488804,21452.864046995397
28,8102.029269999998,0.0,4200.577140000002,839.0341591641065,0.0,10800.0,0.0,4258.466999999997,391.4819068365061,19559.910523999468
29,8102.029269999998,0.0,4200.577140000002,8151.007916524975,0.0,10800.0,0.0,4258.466999999997,2873.90206026489,17305.01661321019
30,8102.029269999998,0.0,4200.577140000002,10652.669159122712,0.0,10800.0,0.0,4258.466999999997,8032.965948808001,15456.791482069319
31,8102.029269999998,0.0,4200.577140000002,7997.964501565139,0.0,10800.0,0.0,4258.466999999997,14883.899318446825,14275.062769988062
32,8102.029269999998,0.0,4200.577140000002,3444.385866149159,0.0,10800.0,0.0,4258.466999999997,21224.995786159103,13748.54493769174
33,8102.029269999998,0.0,4200.577140000002,0.0,0.0,10800.0,0.0,4227.783166113797,25508.536185381727,14241.574238504432
34,8030.429269999997,0.0,4200.577140000002,0.0,0.0,10631.167327156982,0.0,220.067,29236.718530720114,15437.040732122854
35,8030.429269999997,0.0,4200.577140000002,0.0,0.0,7740.508585102651,0.0,220.067,31301.861457869305,15947.556547028065
36,8030.429269999997,0.0,4200.577140000002,0.0,0.0,6850.35122018868,0.0,220.067,32103.03373232538,15488.54163748587
37,8030.429269999997,0.0,4200.577140000002,0.0,0.0,6823.057034032056,0.0,220.067,31896.67117678366,14461.698379184269
38,8030.429269999997,0.0,4200.577140000002,0.0,0.0,9567.483805790447,0.0,220.067,29572.057683475425,12873.885100734064
39,8102.029269999998,0.0,4200.577140000002,0.0,0.0,10800.0,0.0,2696.6556160759665,25622.339065276097,11451.39890864799
40,8102.029269999998,0.0,4200.577140000002,5938.078233061517,0.0,10800.0,0.0,4258.466999999997,19392.010733994353,9701.837622944222
41,8102.029269999998,0.0,4200.577140000002,14313.186857092247,0.0,10800.0,0.0,4258.466999999997,11953.854504100735,8078.885228806994
42,8102.029269999998,1144.7383929131515,4200.577140000002,20203.6,0.0,10800.0,0.0,4258.466999999997,5526.267847668814,6673.320349417985
43,8102.029269999998,3346.2970212905834,4200.577140000002,20203.6,0.0,10800.0,0.0,4258.466999999997,1499.1632711413488,6520.366297568037
44,8102.029269999998,1264.954612330684,4200.577140000002,20203.6,0.0,10800.0,0.0,4258.466999999997,69.7990996685243,7976.072878000757
45,8102.029269999998,0.0,4200.577140000002,16837.449492384832,0.0,10800.0,0.0,4258.466999999997,0.0,10203.47709761511
46,8102.029269999998,0.0,4200.577140000002,11267.700010295155,0.0,10800.0,0.0,4258.466999999997,0.0,11598.226579704864
47,8102.029269999998,0.0,4200.577140000002,7608.083119384994,0.0,10800.0,0.0,4258.466999999997,0.0,12324.343470614998
48,8102.029269999998,0.0,4200.577140000002,5865.9793352801225,0.0,10800.0,0.0,4258.466999999997,0.0,12480.44725471996
49,8102.029269999998,0.0,4200.577140000002,4169.274640352437,0.0,10800.0,0.0,4258.466999999997,0.0,12832.651949647592
50,8102.029269999998,0.0,4200.577140000002,3480.5706687749675,0.0,10800.0,0.0,4258.466999999997,0.0,13458.35592122507
51,8102.029269999998,0.0,4200.577140000002,3501.676456092338,0.0,10800.0,0.0,4258.466999999997,3.0347434638488804,14142.715390443847
52,8102.029269999998,0.0,4200.577140000002,6421.021142579089,0.0,10800.0,0.0,4258.466999999997,464.31574996887866,13745.089697452018
53,8102.029269999998,0.0,4200.577140000002,13128.222891143036,0.0,10800.0,0.0,4258.466999999997,3298.766145203732,11465.937553653239
