timestep,demand,curtailment
1,-49533.0,-0.0
2,-48797.99999999999,-0.0
3,-49181.5,-0.0
4,-50466.5,-0.0
5,-54169.5,-0.0
6,-62705.499999999985,-0.0
7,-69799.0,-0.0
8,-72568.5,-0.0
9,-72856.99999999999,-0.0
10,-73265.0,-0.0
11,-73620.5,-0.0
12,-73145.49999999999,-0.0
13,-72680.0,-0.0
14,-71343.49999999997,-0.0
15,-70812.5,-0.0
16,-70644.0,-0.0
17,-73790.5,-117.2004516538991
18,-74354.5,-128.20683156111062
19,-72774.99999999999,-0.0
20,-68567.49999999999,-0.0
21,-65362.5,-0.0
22,-63306.50000000001,-0.0
23,-59578.49999999999,-0.0
24,-56701.50000000001,-0.0
25,-54830.50000000001,-0.0
26,-53696.0,-0.0
27,-53784.5,-0.0
28,-54701.49999999999,-0.0
29,-57740.99999999999,-0.0
30,-65052.5,-0.0
31,-71814.0,-0.0
32,-73755.0,-0.0
33,-73829.0,-0.0
34,-74183.5,-0.0
35,-74363.99999999999,-0.0
36,-73948.0,-0.0
37,-73517.99999999999,-0.0
38,-72424.5,-0.0
39,-72002.5,-0.0
40,-71773.0,-0.0
41,-75009.49999999999,-0.0
42,-75024.5,-0.0
43,-73645.5,-0.0
44,-69956.5,-0.0
45,-66557.5,-0.0
46,-64146.0,-0.0
47,-60721.0,-0.0
48,-57547.999999999985,-0.0
49,-55610.99999999999,-0.0
50,-54536.0,-0.0
51,-54431.99999999999,-0.0
52,-55083.5,-0.0
53,-57954.49999999999,-0.0
54,-65478.5,-0.0
55,-72394.0,-0.0
56,-74340.99999999999,-661.7838682445752
57,-74550.0,-0.0
58,-75121.49999999999,-0.0
59,-75650.99999999999,-0.0
60,-74685.49999999999,-0.0
61,-74150.49999999999,-0.0
62,-73128.99999999999,-0.0
63,-72438.5,-0.0
64,-72190.0,-0.0
65,-75135.0,-0.0
66,-75305.0,-0.0
67,-73819.5,-0.0
68,-70031.5,-0.0
69,-66546.5,-0.0
70,-64515.0,-0.0
71,-61194.5,-0.0
72,-58467.99999999999,-0.0
73,-56514.99999999999,-0.0
74,-55358.0,-0.0
75,-55040.5,-0.0
76,-55650.5,-0.0
77,-58684.0,-0.0
78,-65679.5,-0.0
79,-72546.0,-0.0
80,-74518.5,-0.0
81,-74456.5,-0.0
82,-74800.5,-0.0
83,-74816.00000000001,-0.0
84,-74127.5,-0.0
85,-73185.99999999999,-0.0
86,-72083.0,-0.0
87,-71576.0,-0.0
88,-71477.0,-0.0
89,-74886.99999999999,-203.73245676770364
90,-75522.5,-153.71318036815873
91,-73955.0,-0.0
92,-69979.0,-0.0
93,-66588.0,-0.0
94,-64433.99999999999,-0.0
95,-60821.0,-0.0
96,-58162.0,-0.0
97,-56044.50000000001,-0.0
98,-54924.5,-0.0
99,-54890.0,-0.0
100,-55676.999999999985,-0.0
101,-58370.0,-0.0
102,-65491.99999999999,-0.0
103,-72054.0,-0.0
104,-74235.5,-0.0
105,-74324.5,-0.0
106,-74509.5,-0.0
107,-74247.99999999999,-0.0
108,-73609.0,-0.0
109,-71909.5,-0.0
110,-70218.5,-0.0
111,-69489.0,-0.0
112,-69760.0,-0.0
113,-72656.5,-0.0
114,-72934.0,-0.0
115,-71238.5,-0.0
116,-67264.5,-0.0
117,-64020.0,-0.0
118,-62330.99999999999,-0.0
119,-59153.5,-0.0
120,-56376.0,-0.0
121,-54214.5,-0.0
122,-52774.0,-0.0
123,-52075.50000000001,-0.0
124,-51609.5,-0.0
125,-51296.0,-0.0
126,-51331.5,-0.0
127,-54484.5,-0.0
128,-57908.99999999999,-0.0
129,-60781.5,-0.0
130,-62308.0,-0.0
131,-62728.5,-0.0
132,-62221.5,-0.0
133,-60255.99999999999,-0.0
134,-58745.0,-0.0
135,-58154.99999999999,-0.0
136,-58789.5,-0.0
137,-63014.499999999985,-0.0
138,-64558.5,-0.0
139,-62852.00000000001,-0.0
140,-59335.5,-0.0
141,-56844.0,-0.0
142,-56465.0,-0.0
143,-54047.49999999999,-0.0
144,-51847.0,-0.0
145,-49799.49999999999,-0.0
146,-48521.99999999999,-0.0
147,-47840.5,-0.0
148,-47380.999999999985,-0.0
149,-46792.5,-0.0
150,-45464.5,-0.0
151,-47232.5,-0.0
152,-50680.49999999999,-0.0
153,-54211.0,-0.0
154,-56038.0,-0.0
155,-57392.5,-0.0
156,-56487.99999999999,-0.0
157,-54376.0,-0.0
158,-53031.0,-0.0
159,-53020.5,-0.0
160,-54723.5,-0.0
161,-59805.5,-0.0
162,-62211.99999999999,-0.0
163,-61094.999999999985,-0.0
164,-58934.0,-0.0
165,-57511.0,-0.0
166,-58428.99999999999,-0.0
167,-56514.49999999999,-0.0
168,-53681.5,-0.0
169,-52033.0,-0.0
170,-51222.99999999999,-0.0
171,-51164.0,-0.0
172,-52491.49999999999,-0.0
173,-56200.5,-0.0
174,-64486.5,-0.0
175,-72288.00000000001,-0.0
176,-74881.49999999999,-0.0
177,-75442.0,-0.0
178,-76305.0,-0.0
179,-76558.99999999999,-0.0
180,-75840.0,-0.0
181,-74887.0,-0.0
182,-73776.5,-0.0
183,-73165.5,-0.0
184,-72831.5,-0.0
185,-75329.49999999999,-572.5162473568441
186,-75559.5,-523.3389746834893
187,-74092.5,-0.0
188,-70082.0,-0.0
189,-66601.0,-0.0
190,-64208.99999999999,-0.0
191,-60520.0,-0.0
192,-57600.5,-0.0
193,-55589.5,-0.0
194,-54485.5,-0.0
195,-54421.5,-0.0
196,-55063.49999999999,-0.0
197,-57925.5,-0.0
198,-65213.99999999999,-0.0
199,-72077.99999999999,-245.5646102608249
