timestep,node,curtailment
1,n3303,0.0
2,n3303,0.0
3,n3303,0.0
4,n3303,0.0
5,n3303,0.0
6,n3303,0.0
7,n3303,0.0
8,n3303,0.0
9,n3303,0.0
10,n3303,0.0
11,n3303,0.0
12,n3303,0.0
13,n3303,0.0
14,n3303,0.0
15,n3303,0.0
16,n3303,0.0
17,n3303,0.0
18,n3303,0.0
19,n3303,0.0
20,n3303,0.0
21,n3303,0.0
22,n3303,0.0
23,n3303,0.0
24,n3303,0.0
25,n3303,0.0
26,n3303,0.0
27,n3303,0.0
28,n3303,0.0
29,n3303,0.0
30,n3303,0.0
31,n3303,0.0
32,n3303,0.0
33,n3303,0.0
34,n3303,0.0
35,n3303,0.0
36,n3303,0.0
37,n3303,0.0
38,n3303,0.0
39,n3303,0.0
40,n3303,0.0
41,n3303,0.0
42,n3303,0.0
43,n3303,0.0
44,n3303,0.0
45,n3303,0.0
46,n3303,0.0
47,n3303,0.0
48,n3303,0.0
49,n3303,0.0
1,n3304,0.0
2,n3304,0.0
3,n3304,0.0
4,n3304,0.0
5,n3304,0.0
6,n3304,0.0
7,n3304,0.0
8,n3304,0.0
9,n3304,0.0
10,n3304,0.0
11,n3304,0.0
12,n3304,0.0
13,n3304,0.0
14,n3304,0.0
15,n3304,0.0
16,n3304,0.0
17,n3304,0.0
18,n3304,0.0
19,n3304,0.0
20,n3304,0.0
21,n3304,0.0
22,n3304,0.0
23,n3304,0.0
24,n3304,0.0
25,n3304,0.0
26,n3304,0.0
27,n3304,0.0
28,n3304,0.0
29,n3304,0.0
30,n3304,0.0
31,n3304,0.0
32,n3304,0.0
33,n3304,0.0
34,n3304,0.0
35,n3304,0.0
36,n3304,0.0
37,n3304,0.0
38,n3304,0.0
39,n3304,0.0
40,n3304,0.0
41,n3304,0.0
42,n3304,0.0
43,n3304,0.0
44,n3304,0.0
45,n3304,0.0
46,n3304,0.0
47,n3304,0.0
48,n3304,0.0
49,n3304,0.0
1,n3305,0.0
2,n3305,0.0
3,n3305,0.0
4,n3305,0.0
5,n3305,0.0
6,n3305,0.0
7,n3305,0.0
8,n3305,0.0
