timestep,biomass,hard coal,hydro,lignite,gas,uran,oil,waste,sun,wind
1,6064.379075972604,207.508531771639,4200.577140000002,2882.3956397343522,0.0,0.0,0.0,2572.0856734230038,0.0,29799.383977501446
2,5712.066269340657,269.16009655809586,4200.577140000002,2693.034930596868,0.0,0.0,0.0,2413.166999999998,0.0,30457.881103001575
3,5539.38429562266,377.5503520834473,4200.577140000002,2932.4217672921936,0.0,0.0,0.0,2413.166999999998,6.069486927697761,31249.309821325394
4,5640.873979086766,643.710962542725,4200.577140000002,3498.208106208785,0.0,0.0,0.0,2776.166999999998,368.72133085763977,31931.161466140908
5,5111.050609957695,1493.773149938527,4200.577140000002,6761.588738243729,0.0,0.0,0.0,2922.3669999999984,2778.30764115365,33918.36495741968
6,4526.32931999999,2348.5698261691305,4200.577140000002,6822.699190475505,15.8,0.0,0.0,2955.7669999999985,7583.823916158354,35911.67647652781
7,4209.45731999999,1253.595534293923,4200.577140000002,6071.09330853864,0.0,0.0,0.0,2776.166999999998,13436.326686190921,38581.70714898919
8,4171.542574069862,1090.0246166652048,4200.577140000002,3611.2000000000003,0.0,0.0,0.0,2482.758575439502,18524.074103333558,39638.44441372266
9,3883.274059999994,718.9430034408535,4200.577140000002,2827.801851157343,0.0,0.0,0.0,2313.814756278419,21728.76320115799,40144.29787914091
10,3904.953019999994,489.499934338867,4200.577140000002,929.1073851880016,0.0,0.0,0.0,2720.044177647786,24763.506665006884,41678.53322819169
11,3904.953019999994,386.50289801428187,4200.577140000002,746.4,0.0,0.0,0.0,2755.375637065338,26305.15634464212,41955.06328200904
12,3900.495119999993,198.99314759476317,4200.577140000002,0.0,0.0,0.0,0.0,2381.010123952852,28822.476047904718,42029.214084809304
13,3852.8951199999938,123.43243331897054,4200.577140000002,0.0,0.0,0.0,0.0,2044.5235298176206,27643.478212199458,42237.81609388017
14,3904.953019999994,270.2984988632113,4200.577140000002,316.2302716593467,0.0,0.0,0.0,2672.6204497277054,24755.919806347272,42090.47735005731
15,3904.953019999994,357.7666830337033,4200.577140000002,746.4,0.0,0.0,0.0,2624.499154055585,21592.19974528478,40806.518388017765
16,3904.953019999994,604.4925743123258,4200.577140000002,2808.573645812406,0.0,0.0,0.0,2373.143519472814,16219.18644254037,39624.49407118927
17,4526.32931999999,1022.3769976619736,4200.577140000002,6398.838495987015,0.0,0.0,0.0,2955.7669999999985,10272.606625128445,37227.84160785876
18,6484.843469999994,3931.8328710983187,4200.577140000002,7576.41703545613,50.8,0.0,0.0,3289.42337529295,4652.261730080339,33469.24126608739
19,7573.9943602901785,4792.791649890402,4200.577140000002,9063.36839257377,50.8,0.0,0.0,3823.9422733531565,1301.9049459911696,29629.51283781755
20,7847.89949121077,3856.808948946534,4200.577140000002,9710.603889854501,50.8,0.0,0.0,3912.866999999998,56.14275408120429,27936.948810416452
21,7936.278641235079,2312.425194254351,4200.577140000002,9395.679467687976,50.8,0.0,0.0,3912.866999999998,0.0,27034.616954249726
22,7571.9017278504025,507.1931222977636,4200.577140000002,7164.44374106302,0.0,0.0,0.0,3873.3056069001586,0.0,27218.674234210353
23,7495.607959999994,427.8772322746483,4200.577140000002,6424.099956855622,0.0,0.0,0.0,3767.966999999998,0.0,26719.135020322956
24,7495.607959999994,389.32018120601106,4200.577140000002,5403.696954016795,0.0,0.0,0.0,3469.1939823621897,0.0,26278.061979827817
25,7495.607959999994,401.0780340957876,4200.577140000002,5271.177865733738,0.0,0.0,0.0,3465.757458433692,0.0,25155.998100659777
26,7813.379243125668,490.1675560394805,4200.577140000002,5941.208134377517,0.0,0.0,0.0,3784.966999999998,0.0,23391.085814063175
27,8081.938579166505,563.5412503995371,4200.577140000002,7368.030733780069,0.0,0.0,0.0,4258.466999999997,3.0347434638488804,21452.864046995397
28,8102.029269999998,649.1357709674751,4200.577140000002,10060.461954403137,0.0,0.0,0.0,4258.466999999997,391.4819068365061,19559.910523999468
29,8102.029269999998,4339.338301152036,4200.577140000002,13621.109704556517,50.8,0.0,0.0,4258.466999999997,2873.90206026489,17305.01661321019
30,8102.029269999998,5603.052200807106,4200.577140000002,14950.567554638903,50.8,0.0,0.0,4258.466999999997,8032.965948808001,15456.791482069319
31,8102.029269999998,3589.983119990284,4200.577140000002,14494.40621139421,50.8,0.0,0.0,4258.466999999997,14883.899318446825,14275.062769988062
32,8102.029269999998,621.8558492540927,4200.577140000002,13149.187001988506,50.8,0.0,0.0,4258.466999999997,21224.995786159103,13748.54493769174
33,8102.029269999998,161.5452882309337,4200.577140000002,10379.09716372628,0.0,0.0,0.0,4258.466999999997,25508.536185381727,14241.574238504432
34,8102.029269999998,66.83662588375228,4200.577140000002,8255.920141209335,0.0,0.0,0.0,4258.466999999997,29236.718530720114,15437.040732122854
35,8062.029269999997,0.0,4200.577140000002,5565.325821974687,0.0,0.0,0.0,4233.0866041044055,31301.861457869305,15947.556547028065
36,8062.029269999997,0.0,4200.577140000002,4875.841625887555,0.0,0.0,0.0,4068.2527626342335,32103.03373232538,15488.54163748587
