timestep,demand,curtailment
1,-43666.0,-1523.9755071948562
2,-43845.99999999999,-1805.6245831038432
3,-45237.5,-1948.6900767065736
4,-48403.0,-2063.784051479033
5,-56678.5,-2303.5795616788123
6,-62964.5,-3271.387481095833
7,-66221.5,-5992.651674129824
8,-67620.0,-7204.268845856073
9,-69086.0,-7598.145424224283
10,-70461.5,-8693.51951309377
11,-70176.5,-9217.490947915063
12,-69635.5,-10187.363500499945
13,-68196.0,-10212.236979883794
14,-66912.0,-9623.601179437195
15,-65270.5,-8312.754867303338
16,-64546.99999999999,-6591.0697157778595
17,-64245.999999999985,-4219.151324448884
18,-63651.99999999999,-895.679233584869
19,-61134.999999999985,-213.90651211681677
20,-58415.5,-179.5897993353513
21,-55651.0,-163.19840655987343
22,-50986.0,-195.7987846194666
23,-47695.5,-336.2035638290977
24,-45720.5,-405.99661208869355
25,-44616.99999999999,-358.5283572676735
26,-44612.0,-85.86716539712523
27,-45264.5,-0.0
28,-48151.5,-0.0
29,-55691.0,-0.0
30,-61503.5,-0.0
31,-64518.0,-0.0
32,-65779.0,-0.0
33,-67080.5,-0.0
34,-67756.0,-0.0
35,-67441.0,-0.0
36,-66893.0,-0.0
37,-65632.5,-7.583076672161326
38,-64464.49999999999,-0.0
39,-62872.99999999999,-0.0
40,-62393.0,-0.0
41,-61706.99999999999,-0.0
42,-60909.0,-0.0
43,-58930.50000000001,-0.0
44,-56875.49999999999,-0.0
45,-54401.99999999999,-0.0
46,-50227.0,-0.0
47,-47293.49999999999,-0.0
48,-45707.5,-0.0
49,-44362.99999999999,-0.0
50,-44300.0,-0.0
51,-45008.499999999985,-0.0
52,-47991.49999999999,-0.0
53,-55254.0,-0.0
54,-60938.99999999999,-0.0
55,-64424.0,-0.0
56,-65782.0,-0.0
57,-67262.5,-16.569720828799163
58,-68708.0,-149.74667581343243
59,-68430.5,-0.0
60,-67101.0,-0.0
61,-65619.0,-0.0
62,-64622.49999999999,-0.0
63,-63390.49999999999,-0.0
64,-63250.0,-0.0
65,-62082.0,-0.0
66,-60827.0,-0.0
67,-57764.0,-0.0
68,-55238.49999999999,-0.0
69,-52834.0,-0.0
70,-48729.99999999999,-0.0
71,-45637.49999999999,-0.0
72,-43491.49999999999,-0.0
73,-41980.5,-0.0
74,-41531.99999999999,-0.0
75,-41305.99999999999,-0.0
76,-41154.0,-0.0
77,-43761.5,-0.0
78,-47516.5,-0.0
79,-51675.0,-0.0
80,-54458.0,-0.0
81,-56200.0,-0.0
82,-56980.5,-0.0
83,-55691.999999999985,-0.0
84,-53486.5,-0.0
85,-51408.0,-3.8845576824074186
86,-50565.0,-0.0
87,-50237.5,-0.0
88,-50390.5,-198.9709036457117
89,-50491.0,-0.0
90,-49919.0,-0.0
91,-48201.5,-0.0
92,-46568.0,-0.0
93,-45751.0,-0.0
94,-42708.5,-0.0
95,-40199.5,-0.0
96,-38344.5,-30.21873927292819
97,-37414.99999999999,-52.353407367146644
98,-36877.0,-77.13800051489824
99,-36615.0,-60.45907212872652
100,-36137.49999999999,-30.999790067871174
101,-37284.5,-0.0
102,-40011.0,-0.0
103,-43621.5,-0.0
104,-46459.0,-0.0
105,-48566.50000000001,-0.0
106,-50615.5,-0.0
107,-50198.0,-106.25912863229539
108,-48382.5,-714.0058102119766
109,-47300.5,-289.3355671479093
110,-46713.5,-0.0
111,-46793.0,-0.0
112,-48009.49999999999,-0.0
113,-49257.5,-0.0
114,-49431.999999999985,-0.0
115,-49049.49999999999,-0.0
116,-48254.0,-0.0
117,-48170.49999999999,-0.0
118,-45542.99999999999,-0.0
119,-42908.49999999999,-0.0
120,-41201.99999999999,-0.0
121,-40525.5,-9.48697267763913
122,-41041.0,-52.97691914444857
123,-42259.0,-60.926700133375505
124,-45633.0,-71.99524647258869
125,-54541.0,-77.61521028983015
126,-61163.5,-87.60787540828511
127,-65133.50000000001,-176.39900887577497
128,-66722.0,-126.02746282655448
129,-68308.5,-1459.2110633815137
130,-69107.5,-2393.25919872835
131,-69385.0,-4577.882706175878
132,-69143.5,-5556.665114726727
133,-68186.0,-6015.93724249476
134,-67230.5,-5823.101433482661
135,-65473.5,-4717.800692288238
136,-64622.5,-3129.723520705913
137,-64158.5,-1368.3374348167736
138,-63117.5,-156.3728693641508
139,-60418.5,-156.44027486081453
140,-57825.5,-151.95968772251825
141,-55226.99999999999,-151.33590201382748
142,-50772.0,-150.4006343478748
143,-47531.0,-144.32139451918096
144,-45847.0,-151.9594137911294
145,-44918.0,-146.81544162838867
146,-44968.5,-131.5394030844913
147,-45640.0,-92.72580660410125
148,-48087.5,-37.702442592300656
149,-55795.0,-0.0
150,-61996.49999999999,-0.0
151,-65412.0,-0.0
152,-66643.0,-0.0
153,-68546.0,-0.0
154,-69527.0,-0.0
155,-68546.0,-188.15098329755386
156,-67936.5,-228.670818272317
157,-66706.5,-51.87849827634456
158,-65560.0,-0.0
159,-64234.5,-0.0
160,-63747.5,-0.0
161,-63088.999999999985,-0.0
162,-61916.99999999999,-0.0
163,-59087.0,-0.0
164,-56339.0,-0.0
165,-53951.99999999999,-0.0
166,-49935.0,-0.0
167,-46727.99999999999,-0.0
168,-44859.5,-0.0
169,-43863.5,-0.0
170,-43815.0,-0.0
171,-44647.5,-0.0
172,-46889.5,-0.0
173,-54465.5,-0.0
174,-60232.5,-0.0
175,-63426.0,-0.0
176,-64548.999999999985,-0.0
177,-65488.49999999999,-73.20171971670158
178,-66681.0,-323.47821309900223
179,-66082.5,-0.0
180,-65398.99999999999,-0.0
181,-64419.99999999999,-0.0
182,-63523.0,-44.09533409382579
183,-62063.00000000001,-154.21521087315233
184,-61671.0,-0.0
185,-61034.5,-0.0
186,-59889.99999999999,-0.0
187,-57424.0,-0.0
188,-54740.5,-0.0
189,-52866.0,-0.0
190,-48959.99999999999,-0.0
191,-45840.0,-0.0
192,-43886.49999999999,-0.0
193,-42770.5,-0.0
194,-42589.5,-0.0
195,-42381.49999999999,-0.0
196,-42125.0,-0.0
197,-44475.5,-0.0
198,-48289.0,-0.0
199,-51461.0,-0.0
200,-53374.5,-0.0
201,-55152.5,-0.0
202,-56693.0,-0.0
203,-56519.5,-0.0
204,-55421.49999999999,-27.661257006481847
205,-54371.0,-0.0
206,-53822.0,-0.0
207,-53556.0,-0.0
208,-54158.5,-0.0
209,-54367.49999999999,-0.0
210,-54089.0,-0.0
211,-52783.00000000001,-0.0
212,-51134.0,-0.0
213,-49777.0,-0.0
214,-46305.5,-0.0
215,-43745.49999999999,-0.0
216,-41887.0,-0.0
217,-40817.0,-0.0
218,-40683.5,-0.0
219,-41767.5,-27.724703820375396
220,-44067.5,-38.014058601093495
221,-51013.5,-22.591310071906776
222,-56762.0,-9.358482043873153
223,-60354.5,-0.0
224,-61779.5,-327.8370711643363
225,-63656.0,-1154.7166258808584
226,-64799.00000000001,-1841.7472189789603
227,-64559.49999999999,-3336.174049085067
228,-63029.5,-4429.38984112863
229,-61422.999999999985,-5885.96025852077
230,-60493.5,-5902.831861767681
231,-59965.5,-5438.884707054151
232,-59740.0,-4098.313447650711
233,-58763.0,-2258.9870180361986
234,-57785.0,-992.9989037712893
235,-55276.49999999999,-50.78260816531174
236,-52827.5,-0.0
237,-50932.5,-0.0
238,-47601.5,-0.0
239,-44458.5,-0.0
240,-42363.0,-0.0
241,-41213.5,-58.06709735982916
