timestep,node,curtailment
1,n3303,0.0
2,n3303,0.0
3,n3303,0.0
4,n3303,0.0
5,n3303,0.0
6,n3303,0.0
7,n3303,0.0
8,n3303,0.0
9,n3303,0.0
10,n3303,0.0
11,n3303,0.0
12,n3303,0.0
13,n3303,0.0
14,n3303,0.0
15,n3303,0.0
16,n3303,0.0
17,n3303,0.0
18,n3303,0.0
19,n3303,0.0
20,n3303,0.0
21,n3303,0.0
22,n3303,0.0
23,n3303,0.0
24,n3303,0.0
25,n3303,0.0
26,n3303,0.0
27,n3303,0.0
28,n3303,0.0
29,n3303,0.0
30,n3303,0.0
31,n3303,0.0
32,n3303,0.0
33,n3303,0.0
34,n3303,0.0
35,n3303,0.0
36,n3303,0.0
37,n3303,0.0
38,n3303,0.0
39,n3303,0.0
40,n3303,0.0
41,n3303,0.0
42,n3303,0.0
43,n3303,0.0
44,n3303,0.0
45,n3303,0.0
46,n3303,0.0
47,n3303,0.0
48,n3303,0.0
49,n3303,0.0
50,n3303,0.0
51,n3303,0.0
52,n3303,0.0
53,n3303,0.0
54,n3303,0.0
55,n3303,0.0
56,n3303,0.0
57,n3303,0.0
58,n3303,0.0
59,n3303,0.0
60,n3303,0.0
61,n3303,0.0
62,n3303,0.0
63,n3303,0.0
64,n3303,0.0
65,n3303,0.0
66,n3303,0.0
67,n3303,0.0
68,n3303,0.0
69,n3303,0.0
70,n3303,0.0
71,n3303,0.0
72,n3303,0.0
73,n3303,0.0
74,n3303,0.0
75,n3303,0.0
76,n3303,0.0
77,n3303,0.0
78,n3303,0.0
79,n3303,0.0
80,n3303,0.0
81,n3303,0.0
82,n3303,0.0
83,n3303,0.0
84,n3303,0.0
85,n3303,0.0
86,n3303,0.0
87,n3303,0.0
88,n3303,0.0
89,n3303,0.0
90,n3303,0.0
91,n3303,0.0
92,n3303,0.0
93,n3303,0.0
94,n3303,0.0
95,n3303,0.0
96,n3303,0.0
97,n3303,0.0
98,n3303,0.0
99,n3303,0.0
100,n3303,0.0
101,n3303,0.0
102,n3303,0.0
103,n3303,0.0
104,n3303,0.0
105,n3303,0.0
106,n3303,0.0
