timestep,biomass,hard coal,hydro,lignite,gas,uran,oil,waste,sun,wind
1,8102.029269999998,0.0,4200.577140000002,17421.18919281564,0.0,10800.0,0.0,4258.466999999997,0.0,4750.737397184315
2,8102.029269999998,0.0,4200.577140000002,16576.055367638153,0.0,10800.0,0.0,4258.466999999997,0.0,4860.871222361802
3,8102.029269999998,0.0,4200.577140000002,16767.85777181194,0.0,10800.0,0.0,4258.466999999997,0.0,5052.568818188012
4,8102.029269999998,0.0,4200.577140000002,18181.319905340613,0.0,10800.0,0.0,4258.466999999997,0.0,4924.106684659348
5,8102.029269999998,2003.058055446612,4200.577140000002,20203.6,0.0,10800.0,0.0,4258.466999999997,0.0,4601.768534553363
6,8102.029269999998,10812.54043264398,4200.577140000002,20203.6,0.0,10800.0,0.0,4258.466999999997,0.0,4328.286157355979
7,8102.029269999998,17949.988949675804,4200.577140000002,20203.6,0.0,10800.0,0.0,4258.466999999997,0.0,4284.337640324162
8,8102.029269999998,20791.170577231307,4200.577140000002,20203.6,0.0,10800.0,0.0,4258.466999999997,95.59441911123963,4117.061593657591
9,8102.029269999998,20554.9799957036,4200.577140000002,20203.6,0.0,10800.0,0.0,4258.466999999997,995.3958561424325,3741.950738154093
10,8102.029269999998,19797.523968147518,4200.577140000002,20203.6,0.0,10800.0,0.0,4258.466999999997,2732.7864891959157,3170.016132656695
11,8102.029269999998,18958.27345159351,4200.577140000002,20203.6,0.0,10800.0,0.0,4258.466999999997,4476.246609177103,2621.306529229492
12,8102.029269999998,17816.982599016927,4200.577140000002,20203.6,0.0,10800.0,0.0,4258.466999999997,5688.626622984735,2075.217367998297
13,8102.029269999998,17225.747602882584,4200.577140000002,20203.6,0.0,10800.0,0.0,4258.466999999997,5829.742194053696,2059.836793063689
14,8102.029269999998,17072.717578025084,4200.577140000002,20203.6,0.0,10800.0,0.0,4258.466999999997,4400.378022580886,2305.730989393971
15,8102.029269999998,18659.508792344004,4200.577140000002,20203.6,0.0,10800.0,0.0,4258.466999999997,2136.4593985496126,2451.858399106474
16,8102.029269999998,19819.27942127098,4200.577140000002,20203.6,0.0,10800.0,0.0,4258.466999999997,345.9607548787725,2914.086413850376
17,8102.029269999998,22425.798618039724,4200.577140000002,20203.6,0.0,10800.0,0.0,4258.466999999997,4.552115195773325,3795.4758567646004
18,8102.029269999998,22061.818703731933,4200.577140000002,20203.6,0.0,10800.0,0.0,4258.466999999997,0.0,4728.007886268218
19,8102.029269999998,20316.360271673795,4200.577140000002,20203.6,0.0,10800.0,0.0,4258.466999999997,0.0,4893.966318326332
20,8102.029269999998,16396.188823337827,4200.577140000002,20203.6,0.0,10800.0,0.0,4258.466999999997,0.0,4606.637766662136
21,8102.029269999998,13510.360341736368,4200.577140000002,20203.6,0.0,10800.0,0.0,4258.466999999997,0.0,4287.466248263606
22,8102.029269999998,11583.362327481815,4200.577140000002,20203.6,0.0,10800.0,0.0,4258.466999999997,0.0,4158.464262518162
23,8102.029269999998,7670.6462402169545,4200.577140000002,20203.6,0.0,10800.0,0.0,4258.466999999997,0.0,4343.180349783013
24,8102.029269999998,4763.006157866757,4200.577140000002,20203.6,0.0,10800.0,0.0,4258.466999999997,0.0,4373.820432133224
25,8102.029269999998,2749.4852888750443,4200.577140000002,20203.6,0.0,10800.0,0.0,4258.466999999997,0.0,4516.341301124935
26,8102.029269999998,1676.3717340735798,4200.577140000002,20203.6,0.0,10800.0,0.0,4258.466999999997,0.0,4454.954855926394
27,8102.029269999998,2117.843629235116,4200.577140000002,20203.6,0.0,10800.0,0.0,4258.466999999997,0.0,4101.982960764861
28,8102.029269999998,3571.88336651505,4200.577140000002,20203.6,0.0,10800.0,0.0,4258.466999999997,0.0,3564.9432234849187
29,8102.029269999998,6684.5480707905135,4200.577140000002,20203.6,0.0,10800.0,0.0,4258.466999999997,0.0,3491.77851920945
30,8102.029269999998,14008.155733519567,4200.577140000002,20203.6,0.0,10800.0,0.0,4258.466999999997,0.0,3479.6708564804067
31,8102.029269999998,20923.079268424808,4200.577140000002,20203.6,0.0,10800.0,0.0,4258.466999999997,0.0,3326.2473215753243
32,8102.029269999998,22764.94813959407,4200.577140000002,20203.6,0.0,10800.0,0.0,4258.466999999997,177.53249263515957,3247.8459577709496
33,8102.029269999998,21466.19393399228,4200.577140000002,20203.6,0.0,10800.0,0.0,4258.466999999997,1717.6648005384682,3080.467855469382
34,8102.029269999998,19792.707622279133,4200.577140000002,20203.6,0.0,10800.0,0.0,4258.466999999997,4227.397645141487,2598.7213225795194
35,8102.029269999998,18076.70664839036,4200.577140000002,20203.6,0.0,10800.0,0.0,4258.466999999997,6233.363074745602,2489.2568668640424
36,8102.029269999998,16310.710254095638,4200.577140000002,20203.6,0.0,10800.0,0.0,4258.466999999997,7518.5769316856085,2554.0394042187145
37,8102.029269999998,16271.740689023753,4200.577140000002,20203.6,0.0,10800.0,0.0,4258.466999999997,7019.361631882462,2662.2242690937524
38,8102.029269999998,16732.868660218337,4200.577140000002,20203.6,0.0,10800.0,0.0,4258.466999999997,5068.021584627639,3058.936345154003
39,8102.029269999998,18455.26831790125,4200.577140000002,20203.6,0.0,10800.0,0.0,4258.466999999997,2411.1036820279405,3571.454590070868
40,8102.029269999998,19695.972450018504,4200.577140000002,20203.6,0.0,10800.0,0.0,4258.466999999997,383.89504817688334,4128.459091804772
41,8102.029269999998,22742.16970361458,4200.577140000002,20203.6,0.0,10800.0,0.0,4258.466999999997,4.552115195773325,4698.104771189821
42,8102.029269999998,22093.824741391265,4200.577140000002,20203.6,0.0,10800.0,0.0,4258.466999999997,0.0,5366.001848608877
43,8102.029269999998,20368.058704830968,4200.577140000002,20203.6,0.0,10800.0,0.0,4258.466999999997,0.0,5712.767885169175
44,8102.029269999998,16370.35205576386,4200.577140000002,20203.6,0.0,10800.0,0.0,4258.466999999997,0.0,6021.474534236116
45,8102.029269999998,12743.225191252406,4200.577140000002,20203.6,0.0,10800.0,0.0,4258.466999999997,0.0,6249.601398747566
46,8102.029269999998,10262.247959017162,4200.577140000002,20203.6,0.0,10800.0,0.0,4258.466999999997,0.0,6319.078630982813
47,8102.029269999998,6561.4407443709915,4200.577140000002,20203.6,0.0,10800.0,0.0,4258.466999999997,0.0,6594.8858456289845
48,8102.029269999998,3224.074407352947,4200.577140000002,20203.6,0.0,10800.0,0.0,4258.466999999997,0.0,6759.252182647011
49,8102.029269999998,1124.2488080973903,4200.577140000002,20203.6,0.0,10800.0,0.0,4258.466999999997,0.0,6922.077781902578
